word,time origin,end point
-clopenthixol,"(1977, 4)","(2003, 7)"
-nitrendipine,"(1983, 3)","(2001, 2)"
-precipitable,"(1976, 12)","(2004, 5)"
1-3man,"(1979, 11)","(2003, 2)"
1-agonist,"(1979, 11)","(2004, 7)"
1-antagonist,"(1979, 11)","(2004, 7)"
1-imidazolylmethyl,"(1981, 10)","(2003, 1)"
1-nitrosopyrene,"(1983, 7)","(2004, 6)"
1-selectivity,"(1982, 6)","(2004, 3)"
11-epithio-11,"(1983, 12)","(2002, 8)"
115d8,"(1985, 11)","(2002, 12)"
125i-bolton,"(1979, 10)","(1997, 7)"
125i-bovine,"(1976, 12)","(2002, 3)"
125i-c1q,"(1976, 10)","(1999, 6)"
125i-endothelin-1,"(1989, 9)","(2001, 9)"
125i-igf,"(1982, 8)","(1998, 3)"
125i-oprl,"(1978, 7)","(1998, 8)"
125i-protein,"(1977, 3)","(2004, 10)"
125i-sch,"(1987, 1)","(1997, 8)"
125i-tnf,"(1985, 11)","(2002, 1)"
125i-tyr,"(1981, 9)","(2003, 4)"
125i-tyr0,"(1988, 6)","(2003, 10)"
13e-dienoic,"(1976, 12)","(2004, 4)"
16-dmpge2,"(1980, 6)","(1996, 3)"
170hp,"(1977, 5)","(2001, 10)"
19-kilodalton,"(1980, 5)","(2004, 10)"
2-adrenoceptor-mediated,"(1981, 12)","(2001, 2)"
2-azido-atp,"(1979, 9)","(2002, 4)"
2-blockade,"(1979, 11)","(2000, 5)"
2-c4,"(1990, 1)","(1996, 2)"
2-fragments,"(1976, 11)","(2004, 2)"
2-microns,"(1981, 6)","(1997, 7)"
2-oh-ade,"(1995, 3)","(2001, 8)"
20-microliters,"(1981, 11)","(1998, 7)"
25-kilodalton,"(1981, 6)","(2000, 7)"
2camp-stimulated,"(1983, 1)","(2003, 5)"
30-micrograms,"(1980, 10)","(1999, 6)"
32p-end-labeled,"(1981, 10)","(2001, 11)"
35f5,"(1990, 7)","(1998, 3)"
3h-acetylcholine,"(1976, 11)","(2003, 4)"
3h-ach,"(1976, 11)","(2003, 8)"
3h-lysine,"(1976, 2)","(1997, 6)"
3h-overflow,"(1976, 5)","(2000, 6)"
3h-sch,"(1984, 10)","(1997, 6)"
3r-acpd-induced,"(1991, 12)","(2003, 1)"
5-ethynyluracil,"(1976, 10)","(2003, 9)"
5-kilobase-pair,"(1980, 2)","(2004, 6)"
50-microliters,"(1981, 10)","(1997, 1)"
5f-bapta,"(1989, 12)","(2001, 9)"
6-adtn,"(1980, 10)","(2000, 3)"
6-oxo-pge1,"(1981, 7)","(1987, 9)"
6-oxo-pgf1,"(1979, 1)","(1998, 3)"
63d3,"(1981, 4)","(1999, 11)"
6kpgf1,"(1981, 3)","(1999, 1)"
7-adtn,"(1979, 11)","(2004, 9)"
70-dependent,"(1987, 9)","(2003, 8)"
73005ef,"(1989, 12)","(2004, 3)"
78k,"(1980, 7)","(2000, 2)"
8-dnp6,"(1983, 10)","(2003, 9)"
82k,"(1979, 10)","(2002, 6)"
99mtc-q12,"(1994, 10)","(1999, 3)"
99tcm-dtpa,"(1976, 9)","(2001, 6)"
99tcm-hexamethylpropyleneamine,"(1985, 8)","(1996, 9)"
a-56620,"(1985, 10)","(1998, 9)"
a-cam,"(1986, 10)","(1999, 2)"
a1-17,"(1986, 5)","(2004, 11)"
a2-selective,"(1983, 7)","(2003, 10)"
a7-ncs,"(1987, 3)","(2004, 10)"
aca-44,"(1976, 10)","(2003, 10)"
acchr,"(1976, 10)","(2002, 10)"
acea-1021,"(1994, 10)","(2000, 5)"
aclacinomycin-a,"(1977, 10)","(2004, 1)"
activitrax,"(1985, 9)","(1995, 1)"
ahprbp,"(1984, 9)","(1999, 7)"
alpha-meha,"(1988, 11)","(2001, 7)"
ami-25,"(1988, 11)","(2003, 6)"
aminothiazolyl,"(1980, 5)","(2000, 6)"
aml-1b,"(1995, 12)","(2004, 3)"
anaprilin,"(1979, 4)","(2003, 11)"
anipamil,"(1985, 2)","(1996, 7)"
anisoylated,"(1982, 6)","(1999, 5)"
anti-c100-3,"(1990, 1)","(1997, 10)"
anti-calla,"(1981, 8)","(1994, 8)"
anti-gp39,"(1993, 11)","(2000, 9)"
anti-i-ak,"(1979, 2)","(1997, 1)"
anti-i-e,"(1977, 12)","(2004, 9)"
anti-i-j,"(1977, 12)","(1998, 1)"
anti-leu3a,"(1983, 2)","(1998, 4)"
anti-lsp,"(1979, 4)","(2002, 12)"
anti-rgh,"(1986, 10)","(1997, 12)"
apopain,"(1995, 7)","(2002, 9)"
aprf,"(1992, 11)","(2003, 2)"
arg-38,"(1980, 12)","(2003, 7)"
asta-z,"(1984, 12)","(1997, 4)"
atheronecrosis,"(1980, 12)","(1998, 6)"
aubmt,"(1989, 11)","(2003, 8)"
autodecremental,"(1980, 3)","(1996, 2)"
b-10,"(1981, 7)","(2004, 8)"
b-ep,"(1983, 8)","(2000, 9)"
bac-t-screen,"(1983, 9)","(1990, 2)"
bamhi-h,"(1980, 11)","(2002, 8)"
berh2,"(1988, 11)","(2001, 2)"
beta-cholestanoic,"(1979, 2)","(1998, 11)"
beta-hanp,"(1984, 12)","(1992, 10)"
beta-hydroxy-5-cholenoic,"(1979, 11)","(1998, 9)"
beta-myristate,"(1983, 9)","(2000, 9)"
beta-very,"(1982, 7)","(2002, 6)"
bi-rg-587,"(1990, 12)","(1999, 8)"
biostim,"(1983, 10)","(2004, 7)"
bltr,"(1979, 6)","(2002, 3)"
bmax1,"(1980, 11)","(2004, 8)"
bof-4272,"(1993, 12)","(2003, 4)"
boushey,"(1983, 10)","(1995, 9)"
bropirimine,"(1987, 11)","(2004, 6)"
c-iii1,"(1978, 6)","(1996, 12)"
c100-3,"(1990, 1)","(2002, 9)"
c3h-gld,"(1984, 1)","(2004, 3)"
ca2+-phospholipid-dependent,"(1983, 11)","(1999, 5)"
calspectin,"(1982, 11)","(1997, 2)"
camostate,"(1985, 8)","(2000, 12)"
camp-pk,"(1980, 8)","(2004, 10)"
canps,"(1981, 7)","(2002, 6)"
cd67,"(1990, 11)","(2004, 10)"
cdc45p,"(1996, 10)","(2004, 9)"
cdei,"(1988, 6)","(2001, 8)"
cdp-dg,"(1981, 3)","(2003, 9)"
cellsoft,"(1987, 7)","(2001, 2)"
cf-ica,"(1981, 8)","(1996, 7)"
cfu-s12,"(1990, 12)","(2003, 10)"
cholecystokinin-immunoreactive,"(1984, 10)","(2003, 9)"
cilazaprilat,"(1987, 1)","(2004, 3)"
colchicine-,"(1978, 12)","(2004, 7)"
cppene,"(1990, 3)","(2002, 9)"
crf-41,"(1983, 7)","(2002, 4)"
csvtcg,"(1991, 12)","(2004, 5)"
ctl-p,"(1979, 1)","(2000, 9)"
cyp1a-1,"(1990, 11)","(2000, 11)"
cys-707,"(1985, 3)","(2004, 5)"
cys-no,"(1994, 4)","(2003, 8)"
d-ala10,"(1981, 9)","(1999, 3)"
d-pro4,"(1982, 11)","(2003, 6)"
d0870,"(1993, 10)","(2000, 7)"
d612,"(1989, 4)","(1996, 7)"
dab486il-2,"(1991, 2)","(2001, 9)"
ddcyd,"(1984, 11)","(1999, 12)"
dg-5128,"(1981, 10)","(1997, 10)"
dgavp,"(1980, 3)","(1997, 10)"
dianhydrogalactitol,"(1976, 10)","(2000, 2)"
diazobenzyloxymethyl,"(1977, 12)","(1989, 12)"
dipalmitoylglycerophosphocholine,"(1976, 11)","(2003, 5)"
dis-c3-,"(1976, 12)","(2003, 9)"
doxacurium,"(1988, 10)","(2004, 8)"
dqw3,"(1985, 11)","(2004, 1)"
drw11,"(1985, 3)","(2004, 1)"
drw4,"(1978, 11)","(1996, 3)"
drw52a,"(1988, 1)","(1995, 11)"
dtlet,"(1983, 3)","(2001, 5)"
duromedics,"(1985, 12)","(2003, 7)"
dxs304,"(1989, 11)","(1996, 8)"
dynorphin-,"(1981, 1)","(2003, 5)"
e-1020,"(1989, 1)","(1997, 3)"
easf,"(1989, 3)","(1996, 8)"
ebrotidine,"(1992, 12)","(2004, 12)"
ecok,"(1979, 1)","(2001, 9)"
ecothiopate,"(1977, 5)","(1998, 8)"
endoflagella,"(1976, 9)","(2003, 3)"
endothelin-i,"(1990, 5)","(2004, 4)"
enk-li,"(1985, 10)","(1998, 6)"
estramustine-binding,"(1978, 11)","(2001, 5)"
ethacizin,"(1985, 4)","(1994, 3)"
eurofan,"(1996, 3)","(2004, 4)"
fast-elisa,"(1986, 9)","(2004, 9)"
fedotozine,"(1990, 8)","(2004, 6)"
fluorographs,"(1978, 4)","(1999, 9)"
fsaiic,"(1987, 1)","(2002, 12)"
fsh-hp,"(1993, 10)","(2004, 7)"
gabeb,"(1988, 9)","(2003, 2)"
gamma-ii,"(1983, 10)","(2003, 2)"
gastrospirillum,"(1989, 6)","(2004, 3)"
gciis,"(1976, 7)","(1998, 10)"
gcvf,"(1978, 11)","(2003, 2)"
ghrh-44,"(1985, 6)","(2004, 7)"
grfi,"(1988, 1)","(1999, 7)"
groel14,"(1992, 11)","(2004, 2)"
gtwes,"(1978, 12)","(1994, 3)"
h*1,"(1987, 1)","(1999, 6)"
h-2-congenic,"(1978, 4)","(2004, 12)"
hatt,"(1986, 11)","(2004, 7)"
hcgrp-,"(1989, 2)","(2003, 2)"
hdl-binding,"(1981, 10)","(2004, 5)"
hel-n1,"(1993, 6)","(2002, 6)"
hemeselect,"(1992, 11)","(2002, 10)"
hml-1,"(1987, 9)","(2004, 2)"
hmura,"(1984, 11)","(2001, 1)"
hox-2,"(1985, 11)","(1997, 9)"
hox-3,"(1986, 12)","(2003, 10)"
hox-4,"(1987, 10)","(1995, 5)"
hoxb-1,"(1993, 10)","(2002, 3)"
hpthrp-,"(1988, 12)","(2002, 1)"
hs-htp,"(1986, 9)","(1997, 9)"
hsdm1c1,"(1979, 10)","(1995, 1)"
htlv-iiib,"(1985, 10)","(2004, 6)"
hu-211,"(1989, 10)","(2003, 8)"
humkv325,"(1987, 12)","(1998, 2)"
hyaluronate-binding,"(1976, 7)","(2001, 7)"
i-txb2,"(1980, 1)","(1997, 12)"
ics205-930,"(1987, 9)","(2000, 4)"
idrapril,"(1992, 7)","(2000, 2)"
igg-bf,"(1984, 6)","(1995, 12)"
imidazoline-preferring,"(1987, 9)","(2000, 8)"
iodohydroxybenzylpindolol,"(1976, 12)","(1986, 7)"
ir-dynorphin,"(1981, 12)","(2001, 4)"
ire-bp,"(1989, 11)","(2001, 8)"
iso-2-cytochrome,"(1976, 9)","(2001, 4)"
ityr,"(1979, 7)","(2004, 2)"
itys,"(1979, 7)","(1998, 12)"
j11d,"(1983, 7)","(2004, 5)"
jtc-12,"(1978, 7)","(2002, 8)"
k1018,"(1987, 10)","(1999, 1)"
k3*,"(1977, 4)","(2003, 12)"
kg-0,"(1979, 12)","(2003, 9)"
kg-1h-1,"(1978, 2)","(2003, 8)"
ki-1-positive,"(1984, 10)","(2003, 7)"
kid-1,"(1993, 3)","(2004, 5)"
konings,"(1982, 10)","(2004, 7)"
l-648,"(1986, 12)","(1998, 4)"
l-697,"(1991, 8)","(1999, 8)"
lactogen-i,"(1987, 6)","(2004, 12)"
lak-mediated,"(1987, 4)","(2002, 1)"
leu-m5,"(1985, 4)","(1995, 4)"
leu11+,"(1984, 9)","(1993, 3)"
leu2a+,"(1983, 2)","(1993, 12)"
levoxadrol,"(1982, 6)","(1994, 9)"
lifarizine,"(1993, 5)","(1998, 2)"
lowicryl-embedded,"(1986, 12)","(2002, 7)"
lr73,"(1992, 7)","(1999, 3)"
ly2+,"(1976, 12)","(1996, 7)"
ly231617,"(1993, 5)","(2003, 11)"
lymphokine-secreting,"(1983, 12)","(1997, 9)"
lyt-1+2+,"(1980, 11)","(1990, 1)"
lyt-2,"(1977, 11)","(2004, 5)"
lyt-2+,"(1977, 11)","(1996, 4)"
m-subunit,"(1977, 5)","(2004, 7)"
mac-387,"(1988, 9)","(1998, 9)"
man8glcnac,"(1982, 12)","(2003, 7)"
man9glcnac,"(1980, 5)","(2004, 1)"
mannosylphosphoryldolichol,"(1977, 2)","(2004, 6)"
mch3,"(1994, 6)","(2004, 2)"
mdhc,"(1993, 1)","(2002, 7)"
me-li,"(1982, 11)","(1995, 9)"
medullasin,"(1982, 6)","(2002, 7)"
meleu9,"(1990, 12)","(2003, 9)"
methidiumpropyl-edta,"(1982, 9)","(2001, 7)"
methylcoenzyme,"(1976, 5)","(2001, 5)"
mex-,"(1981, 1)","(2003, 8)"
mhc+,"(1990, 12)","(2003, 12)"
micrometers2,"(1979, 3)","(2003, 3)"
microns-1,"(1982, 6)","(1997, 4)"
midaglizole,"(1987, 11)","(2002, 9)"
mk-329,"(1989, 10)","(2004, 5)"
mk-771,"(1978, 3)","(1997, 6)"
mk-927,"(1988, 12)","(1997, 10)"
monatepil,"(1993, 11)","(1998, 11)"
mono-octanoin,"(1981, 1)","(2000, 8)"
monohydroxytamoxifen,"(1977, 11)","(2000, 11)"
mov19,"(1987, 3)","(2001, 11)"
ms751,"(1988, 5)","(2003, 4)"
mtv-9,"(1984, 7)","(1999, 5)"
multihandicapped,"(1976, 3)","(2002, 4)"
n-0861,"(1992, 3)","(2001, 9)"
n-formylmethionylleucylphenylalanine,"(1980, 10)","(2004, 6)"
n-methylaspartate,"(1977, 2)","(2004, 11)"
n-oh-af,"(1977, 5)","(2002, 12)"
napi-4,"(1994, 3)","(2003, 3)"
nbmpr-p,"(1981, 2)","(2003, 3)"
ngeq,"(1981, 8)","(2001, 4)"
nhe-rf,"(1995, 5)","(2003, 8)"
nhik,"(1976, 10)","(2004, 10)"
nle28,"(1985, 12)","(1999, 6)"
nlepth,"(1988, 3)","(1994, 1)"
nonmaori,"(1986, 10)","(1996, 6)"
norantipyrine,"(1979, 11)","(2004, 2)"
oasdi,"(1977, 4)","(1999, 6)"
okamoto-aoki,"(1976, 1)","(2000, 9)"
okia1,"(1982, 10)","(1994, 7)"
okm1+,"(1980, 4)","(1992, 7)"
okt4+,"(1979, 12)","(1999, 9)"
okt4a,"(1982, 10)","(2000, 5)"
okt8+,"(1980, 12)","(1999, 9)"
oleoylglycerol,"(1977, 8)","(2004, 9)"
oncogene-transfected,"(1986, 10)","(2004, 12)"
orndcase,"(1981, 9)","(1988, 4)"
otf-1,"(1987, 12)","(2003, 7)"
ovomacroglobulin,"(1982, 11)","(2001, 4)"
ovothiol,"(1986, 10)","(2003, 9)"
ox8+,"(1982, 2)","(1999, 7)"
p-450bm-3,"(1987, 5)","(1998, 10)"
p-450ia1,"(1988, 12)","(1999, 7)"
p-450iiia,"(1989, 2)","(1996, 3)"
p140trk,"(1991, 7)","(2000, 8)"
p185c-neu,"(1989, 12)","(2003, 8)"
p21s,"(1984, 11)","(1999, 2)"
p3-450,"(1984, 12)","(1993, 12)"
p40x,"(1984, 9)","(1999, 12)"
p450coh,"(1988, 12)","(1994, 2)"
p56lyn,"(1990, 12)","(2004, 1)"
p60v-src,"(1983, 7)","(2003, 10)"
p62c-yes,"(1988, 12)","(1997, 12)"
p95vav,"(1991, 2)","(2000, 8)"
padac,"(1981, 12)","(1998, 7)"
padprp,"(1990, 9)","(1999, 8)"
pancreolauryl,"(1983, 12)","(2004, 10)"
paraneurons,"(1976, 11)","(2004, 6)"
pcfia,"(1985, 9)","(2001, 7)"
pcr-ish,"(1995, 12)","(2003, 2)"
pd-cu-ga,"(1986, 1)","(2004, 8)"
pd-ga,"(1993, 11)","(2004, 8)"
pentacaine,"(1985, 1)","(2001, 9)"
peptide-n4-,"(1986, 9)","(2004, 1)"
pertussigen,"(1977, 1)","(2001, 2)"
pet122,"(1988, 11)","(2000, 3)"
phc79,"(1980, 11)","(2002, 3)"
pi-anchored,"(1987, 10)","(2003, 6)"
pi-glycan,"(1987, 1)","(1995, 4)"
piliformis,"(1976, 10)","(2000, 10)"
pinealitis,"(1986, 3)","(2003, 11)"
piroximone,"(1984, 8)","(1998, 7)"
pkk223-3,"(1985, 11)","(2004, 7)"
pmog,"(1995, 4)","(2003, 2)"
pneumoplasty,"(1995, 10)","(2002, 4)"
pnu-99194a,"(1997, 6)","(2004, 9)"
polylactosaminoglycans,"(1983, 3)","(2000, 5)"
prcii,"(1980, 11)","(1989, 10)"
pro-opiocortin,"(1978, 2)","(1993, 9)"
prodyn,"(1991, 2)","(1999, 5)"
pse-2,"(1981, 9)","(2000, 6)"
pseudo-hill,"(1982, 1)","(2003, 8)"
psv2-gpt,"(1982, 9)","(1994, 10)"
psv2cat,"(1982, 11)","(2003, 4)"
ptp1c,"(1991, 8)","(2002, 8)"
qa2,"(1977, 4)","(2004, 4)"
quin2-loaded,"(1983, 7)","(1992, 3)"
r-n6-phenylisopropyladenosine,"(1985, 11)","(2003, 5)"
ranf,"(1987, 10)","(2004, 2)"
receptor-adenylate,"(1976, 12)","(2001, 1)"
rer-positive,"(1994, 7)","(2001, 10)"
rev-erba,"(1989, 3)","(2003, 11)"
reyn,"(1981, 10)","(2003, 3)"
rhuil-4,"(1990, 6)","(2004, 11)"
rhutnf,"(1986, 6)","(2003, 7)"
rosette-positive,"(1977, 10)","(1998, 3)"
rscu-pa,"(1986, 11)","(1997, 4)"
rskm1,"(1992, 2)","(2003, 6)"
rubidazone,"(1976, 2)","(1997, 10)"
s-2222,"(1977, 12)","(2001, 2)"
s-pyridylethylated,"(1977, 7)","(2004, 5)"
sepacell,"(1988, 12)","(2002, 2)"
serine-borate,"(1978, 10)","(1997, 8)"
